WLHv,RH,EV24,QMeuse,QRhine,value,coordsys,lon,lat,station
-9.215277777777779,2.0,12.0,125.0,2166.0,281.16,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-6.944444444444445,1.0,19.0,132.0,2130.0,281.52,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-23.42361111111111,0.0,30.0,114.0,2087.0,281.68,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-20.333333333333332,0.0,32.0,97.0,2087.0,280.72,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-10.118055555555555,0.0,36.0,86.0,2078.0,283.24,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-9.659722222222221,0.05,19.0,135.0,2048.0,278.72,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-5.5625,101.0,3.0,129.0,2038.0,278.28,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-14.881944444444445,2.0,15.0,154.0,2010.0,283.32,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-15.027777777777779,171.0,4.0,571.0,1947.0,287.72,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-6.638888888888889,84.0,8.0,675.0,1895.0,289.28,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-11.5,13.0,10.0,409.0,2309.0,279.0,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-5.423611111111111,0.0,20.0,319.0,2725.0,269.84,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-4.5625,168.0,13.0,289.0,2851.0,268.32,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
3.8819444444444446,9.0,27.0,353.0,2673.0,268.84,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-1.7847222222222223,8.0,26.0,263.0,2500.0,268.16,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-9.465277777777779,0.05,32.0,229.0,2314.0,272.68,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-9.645833333333334,0.0,30.0,167.0,2184.0,278.92,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-8.020833333333334,0.0,36.0,185.0,2134.0,280.32,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-13.444444444444445,0.0,49.0,139.0,2108.0,280.08,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-7.854166666666667,45.0,38.0,200.0,2065.0,287.52,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-8.791666666666666,70.0,24.0,174.0,1985.0,288.6,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-20.208333333333332,0.05,28.0,174.0,1940.0,289.28,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-12.118055555555555,0.0,22.0,153.0,1898.0,290.32,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-15.381944444444445,8.0,26.0,138.0,1872.0,288.44,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-15.104166666666666,0.05,22.0,121.0,1868.0,291.84,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-17.46527777777778,0.05,28.0,129.0,1866.0,289.36,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-7.409722222222222,187.0,12.0,124.0,1896.0,288.28,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
2.3958333333333335,1.0,37.0,127.0,1976.0,290.72,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-3.8125,2.0,28.0,117.0,1943.0,291.08,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-17.15972222222222,0.05,35.0,128.0,1886.0,287.2,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-9.458333333333334,17.0,20.0,114.0,1867.0,289.64,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-4.798611111111111,29.0,14.0,128.0,1878.0,291.84,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-5.0625,0.05,22.0,171.0,1965.0,288.72,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-0.6111111111111112,81.0,31.0,162.0,2217.0,281.28,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
3.1041666666666665,164.0,10.0,175.0,2497.0,272.2,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-0.3125,243.0,14.0,181.0,2655.0,261.48,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-16.104166666666668,1.0,18.0,129.0,2758.0,260.36,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-14.097222222222221,0.0,42.0,138.0,2829.0,252.64,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-27.395833333333332,0.0,36.0,151.0,2815.0,248.16,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-31.45,0.0,30.0,107.0,2835.0,251.72,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-23.535714285714285,1.0,44.0,107.0,2632.0,260.92,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-9.493055555555555,0.0,40.0,101.0,2533.0,262.28,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-7.625,0.0,38.0,102.0,2421.0,262.24,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-9.256944444444445,0.0,33.0,102.0,2319.0,263.44,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-14.722222222222221,0.05,9.0,106.0,2238.0,264.4,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
